Name,Location
AgriDigital,Sydney
Akropolis,Sydney
AMM,Other
Bartercoin,Sydney
Biocoin,Sydney
Biocoin,Canberra
BitPOS,Sydney
BitRocket,Sydney
BitTrade Labs,Sydney
Blochexchange,Other
Block8,Sydney
BokkyPooBah's Token Teleportation Service,Sydney
Bounty Source,Melbourne
Brontech,Sydney
Canya,Melbourne
Chronobank,Sydney
Cindicator,Other
Civic Ledger,Brisbane
CoinTerminal,Sydney
Crypt Inc,Other
CRYPTO,Sydney
Crypto Finder,Sydney
Crypto NEXT Level,Sydney
Crypto Recruit,Sydney
CryptoDerivatives.Market,Sydney
CryptokittiesVR,Brisbane
CryptoPhoto.com Pty. Ltd.,Noosa Heads
Depositoffer. ('DO') Token,Sydney
Devery,Sydney
dutyof.care,Melbourne
EKT Learning Chain,Sydney
Emanate,Sydney
Ether Games,Sydney
EtherBots,Sydney
Five2One,Sydney
Flash-FX,Sydney
Flex Dapps,Melbourne
Flux,Sydney
Forver Has Fallen,Adelaide
Frankl,Sydney
Fuzo Ltd,Adelaide
GazeCoin,Sydney
H Cash,Melbourne
Havven,Sydney
Hexcoin,Sydney
Horizon State,Sydney
Hut34,Sydney
Icebloq,Sydney
Incenty Loyalty,Sydney
Independent Reserve,Sydney
Invox Finance,Adelaide
JOE,Sydney
Kribia,Sydney
Learngold,Sydney
Legaler,Sydney
Living Room of Satoshi,Brisbane
LOKI,Melbourne
Meeco,Sydney
MyStake,Sydney
NextGenius,Sydney
Othera,Sydney
Ozrealestates ('OZR' Tokens),Sydney
PAC Blockchain,Sydney
Patron Bank,Sydney
Peerism,Sydney
Power Ledger,Fremantle
Proton Network,Sydney
Red Belly Blockchain,Sydney
Republic Protocol,Canberra
RightsFusion Pty Ltd,Sydney
RocketPool,Brisbane
Saito,Sydney
Scalamed,Sydney
SecureVote,Sydney
Shping,Melbourne
Skrilla,Brisbane
Small Prophet,Sydney
Tbsx3,Sydney
Tenzorum,Sydney
The Flight Plan,Melbourne
TravelbyBit,Brisbane
UCOT,Sydney
Veredictum,Sydney
Zero Carbon Project,Sydney
